#name | line_width | line_color | radius | circle_color | birth | death

invisible | 1.0 | white | 0.0001 | #bc5729 | | 
    Вещий Олег | 1.0 | white | 4.0 | orange | до 879 г. | 912 г.
    invisible | 1.0 | white | 0.0001 | #bc5729 | | 
    invisible | 1.0 | white | 0.0001 | #bc5729 | | 
    invisible | 1.0 | white | 0.0001 | #bc5729 | | 
    Рюрик | 1.0 | white | 4.0 | #bc5729 | до 862 г. | 879 г. 
        Ольга, жена Игоря | 1.0 | white | 4.0 | orange | ок. 890 г. | 969 г.
        invisible | 1.0 | white | 0.0001 | #bc5729 | | 
        invisible | 1.0 | white | 0.0001 | #bc5729 | | 
        invisible | 1.0 | white | 0.0001 | #bc5729 | | 
        Игорь | 1.0 | purple | 4.0 | #bc5729 |ок. 878 г. | 945 г.
            Святослав Игоревич | 1.0 | purple | 4.0 | #bc5729 | 942 г. | 972 г.
                Ярополк Святославич | 1.0 | lightgray | 4.0 | #bc5729 | до 968 г. | 978 г.
                Олег Древлянский | 1.0 | lightgray | 4.0 | #bc5729 | 955 г. | 977 г.
                Владимир Красное Солнышко | 1.0 | purple | 4.0 | #bc5729 | ок. 960 г. | 1015 г.
                    Вышеслав Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | ок. 977 г. | > 1010 г.
                    Изяслав Полоцкий | 1.0 | lightgray | 4.0 | #bc5729 | ок. 978 г. | 1001 г.
                        Всеслав, Полоцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                        Брячислав, Полоцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Всеслав Чародей | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Рогволод, Полоцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Рогволод Рогволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Глеб Рогволодович, Друцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Борис Рогволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Всеслав Рогволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Иван Рогволодович(?) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Глеб Всеславич, Минск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Ростислав Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Святослав Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ростислав Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Глеб Ростиславич, Друцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Володарь Глебович, Минск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Владимир Володаревич, Минск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Всеволод Глебович, Изяславль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Изяслав Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Роман Всеславич, Друцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Давыд Всеславич, Полоцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Брячислав, Изяславль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Микула Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Всеслав, Логожск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Володша Давыдович  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Брячислав Володшевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Изяслав Брячиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Василько Брячиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Андрей Володшевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Ростислав, Лукомльск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Вячеслав Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Роман, Витебск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Святослав, Витебск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Василько Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Всеслав, Витебск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир, Полоцк | 1.0 | lightgray | 4.0 | #bc5729 | до 1184 | 1216 
                                        Брячислав, Витебск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Василько, Витебск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Брячислав, Витебск. | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Константин Безрукий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Михаил Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Изяслав, Витебск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Изяслав Изяславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Василько, Витебск? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Ярослав, Витебск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Всеслав Брячиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Володша Василькович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Микула Володшевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Всеслав Микулич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Изяслав Микулич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Андрей Володшевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Изяслав Василькович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Всеволод, Гродно | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Вячко, Витебск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Давыд Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Борис, Полоцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Вячко, Кукейносс | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Всеволод (Василько?), Герсик | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир Войцех | 1.0 | lightgray | 4.0 | #bc5729 | | 
                    Ярослав Владимирович Мудрый | 1.0 | purple | 4.0 | #bc5729 | ок. 978 г. | 1054 г.
                        Илья Новгородский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                        Владимир Новгородский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Ростислав Галицкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Рюрик, Перемышль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Володарь Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
